Reference, Value, Footprint, Datasheet, supplier, supplier pn, manufacturer, manufacturer pn, description, Value2
P1,Rpi_HDR-40,,
P2,CONN_02X30,footprints_on_Cdrive:HDR_2x30_F_latch,,digikey,AHK60H-ND,TE,1-5499922-1 ,CONN HEADER VERT 60POS .100 15AU ,
C3,1nF,footprints_on_Cdrive:0402,,digikey, 490-1303-1-ND ,Murata,GRM155R71H102KA01D,CAP CER 1000PF 50V X7R 0402,
U1,AD7683,footprints_on_Cdrive:RM-8,,digikey,AD7683ARMZRL7CT-ND,Analog Devices,AD7683ARMZRL7, IC ADC 16BIT SAR 100KSPS 8MSOP ,
U2,ADG706,,,digikey,ADG706BRUZ-REELCT-ND ,Analog Devices, ADG706BRUZ-REEL , IC MULTIPLEXER 16X1 28TSSOP ,
U3,ADG706,,,digikey,ADG706BRUZ-REELCT-ND ,Analog Devices, ADG706BRUZ-REEL , IC MULTIPLEXER 16X1 28TSSOP ,
U4,ADG706,,,digikey,ADG706BRUZ-REELCT-ND ,Analog Devices, ADG706BRUZ-REEL , IC MULTIPLEXER 16X1 28TSSOP ,
R1,1k,footprints_on_Cdrive:0603_sm,,digikey, 311-1.00KHRCT-ND ,Yageo, RC0603FR-071KL , RES SMD 1K OHM 1% 1/10W 0603 ,
U8,TPS73133,footprints_on_Cdrive:SOT23-5,,digikey,296-32553-1-ND ,Texas Instruments,TPS73133DBVR ,IC REG LDO 3.3V 0.15A SOT23-5,
C6,0.47uF,footprints_on_Cdrive:0402,,digikey, 490-3264-1-ND ,Murata, GRM155R61A474KE15D , CAP CER 0.47UF 10V X5R 0402 ,
C5,0.47uF,footprints_on_Cdrive:0402,,digikey, 490-3264-1-ND ,Murata, GRM155R61A474KE15D , CAP CER 0.47UF 10V X5R 0402 ,
C4,DNI,footprints_on_Cdrive:0402,,NA,NA,NA,NA,do not install,
TP1,probe_point,footprints_on_Cdrive:probe_point,
U5,ADG706,,,digikey,ADG706BRUZ-REELCT-ND ,Analog Devices, ADG706BRUZ-REEL , IC MULTIPLEXER 16X1 28TSSOP ,
U6,ADG706,,,digikey,ADG706BRUZ-REELCT-ND ,Analog Devices, ADG706BRUZ-REEL , IC MULTIPLEXER 16X1 28TSSOP ,
U7,ADG706,,,digikey,ADG706BRUZ-REELCT-ND ,Analog Devices, ADG706BRUZ-REEL , IC MULTIPLEXER 16X1 28TSSOP ,
D1,LED_SMT,footprints:0603-D,,digikey,754-1932-1-ND ,Kingbright,APT1608LSYCK/J3-PRV , LED YELLOW CLEAR 0603 SMD ,Yellow LED
R2,1.5K,footprints_on_Cdrive:0603,,digikey, 311-1.50KHRCT-ND ,Yageo,RC0603FR-071K5L, RES SMD 1.5K OHM 1% 1/10W 0603 ,
U9,74LS08,footprints_on_Cdrive:SOIC-14_N,,digikey, 74HC08S14-13DICT-ND ,Diodes Inc.,74HC08S14-13 ,IC GATE AND 4CH 2-INP 14-SO ,
U10,MCP4921,footprints_on_Cdrive:,,digikey, MCP4921T-E/MSCT-ND ,Microchip Technology,MCP4921T-E/MS , ICDAC 12BIT SNGL W/SPI 8MSOP ,
R24,1K,footprints_on_Cdrive:0402,,digikey, 311-1.00KLRCT-ND ,Yageo, RC0402FR-071KL , RES SMD 1K OHM 1% 1/16W 0402 ,
C16,0.1uF,footprints_on_Cdrive:0402,,digikey,478-1126-1-ND,AVX Corporation,0402YD104KAT2A,CAP CER 0.1UF 16V X5R 0402,
C15,0.1uF,footprints_on_Cdrive:0402,,digikey,478-1126-1-ND,AVX Corporation,0402YD104KAT2A,CAP CER 0.1UF 16V X5R 0402,
C14,10uF,footprints_on_Cdrive:0402,,digikey, 1276-6830-1-ND ,Samsung,CL05A106MP8NUB8 ,CAP CER 10UF 10V X5R 0402 ,
C13,0.1uF,Resistors_SMD:R_0603_HandSoldering,,digikey, 490-1532-1-ND ,AVX Corporation, GRM188R71C104KA01D , CAP CER 0.1UF 16V X7R 0603 ,
C12,0.1uF,Resistors_SMD:R_0603_HandSoldering,,digikey, 490-1532-1-ND ,AVX Corporation, GRM188R71C104KA01D , CAP CER 0.1UF 16V X7R 0603 ,
C11,0.1uF,Resistors_SMD:R_0603_HandSoldering,,digikey, 490-1532-1-ND ,AVX Corporation, GRM188R71C104KA01D , CAP CER 0.1UF 16V X7R 0603 ,
C1,0.1uF,Resistors_SMD:R_0603_HandSoldering,,digikey, 490-1532-1-ND ,AVX Corporation, GRM188R71C104KA01D , CAP CER 0.1UF 16V X7R 0603 ,
C2,0.1uF,Resistors_SMD:R_0603_HandSoldering,,digikey, 490-1532-1-ND ,AVX Corporation, GRM188R71C104KA01D , CAP CER 0.1UF 16V X7R 0603 ,
C10,0.1uF,Resistors_SMD:R_0603_HandSoldering,,digikey, 490-1532-1-ND ,AVX Corporation, GRM188R71C104KA01D , CAP CER 0.1UF 16V X7R 0603 ,
C9,0.1uF,Resistors_SMD:R_0603_HandSoldering,,digikey, 490-1532-1-ND ,AVX Corporation, GRM188R71C104KA01D , CAP CER 0.1UF 16V X7R 0603 ,
C8,0.1uF,Resistors_SMD:R_0603_HandSoldering,,digikey, 490-1532-1-ND ,AVX Corporation, GRM188R71C104KA01D , CAP CER 0.1UF 16V X7R 0603 ,
C7,0.1uF,Resistors_SMD:R_0603_HandSoldering,,digikey, 490-1532-1-ND ,AVX Corporation, GRM188R71C104KA01D , CAP CER 0.1UF 16V X7R 0603 ,
P3,CONN_02X05,,
