Reference, Value, Footprint, Datasheet, description, supplier, supplier pn, manufacturer, manufacturer pn
U5,MSP430G2955,footprints_on_Cdrive:VQFN40,,IC MCU 16BIT 56KB FLASH 40VQFN,digikey,296-35703-1-ND,Texas Instruments,MSP430G2955IRHA40R
R2,10K,footprints_on_Cdrive:0402,,RES SMD 10K OHM 1% 1/16W 0402 ,digikey, 311-10.0KLRCT-ND ,Yageo,RC0402FR-0710KL 
C4,0.1uF,footprints_on_Cdrive:0402,,CAP CER 0.1UF 16V X5R 0402,digikey,478-1126-1-ND,AVX Corporation,0402YD104KAT2A
C5,0.1uF,footprints_on_Cdrive:0402,,CAP CER 0.1UF 16V X5R 0402,digikey,478-1126-1-ND,AVX Corporation,0402YD104KAT2A
TP2,TP_SMT_TnB,footprints_on_Cdrive:TP_SMT.02_top_bot,
TP3,TP_SMT_TnB,footprints_on_Cdrive:TP_SMT.02_top_bot,
C1,0.47uF,footprints_on_Cdrive:0402,, CAP CER 0.47UF 10V X5R 0402 ,digikey, 490-3264-1-ND ,Murata, GRM155R61A474KE15D 
C2,0.47uF,footprints_on_Cdrive:0402,, CAP CER 0.47UF 10V X5R 0402 ,digikey, 490-3264-1-ND ,Murata, GRM155R61A474KE15D 
R7,47K,footprints_on_Cdrive:0402,, RES SMD 47K OHM 1% 1/16W 0402 ,digikey,RMCF0402FT47K0CT-ND ,Stackpole Electronics Inc.,RMCF0402FT47K0 
R1,1K,footprints_on_Cdrive:0402,, RES SMD 1K OHM 1% 1/16W 0402 ,digikey, 311-1.00KLRCT-ND ,Yageo, RC0402FR-071KL 
R5,100K,footprints_on_Cdrive:0402,, RES SMD 100K OHM 1% 1/16W 0402 ,digikey, 311-100KLRCT-ND ,Stackpole Electronics Inc., RC0402FR-07100KL 
R6,1M,footprints_on_Cdrive:0402,, RES SMD 1M OHM 1% 1/16W 0402 ,digikey, 311-1.00MLRCT-ND ,Stackpole Electronics Inc., RC0402FR-071ML 
TP1,TP_SMT,footprints_on_Cdrive:TP_SMT.02,
U13,TPS73133,footprints_on_Cdrive:SOT23-5,,IC REG LDO 3.3V 0.15A SOT23-5,digikey,296-32553-1-ND ,Texas Instruments,TPS73133DBVR 
C11,0.47uF,footprints_on_Cdrive:0402,, CAP CER 0.47UF 10V X5R 0402 ,digikey, 490-3264-1-ND ,Murata, GRM155R61A474KE15D 
C10,0.47uF,footprints_on_Cdrive:0402,, CAP CER 0.47UF 10V X5R 0402 ,digikey, 490-3264-1-ND ,Murata, GRM155R61A474KE15D 
C9,DNI,footprints_on_Cdrive:0402,,do not install,NA,NA,NA,NA
C12,DNI,footprints_on_Cdrive:0402,,do not install,NA,NA,NA,NA
U15,74CBTLV3253,footprints_on_Cdrive:DHVQFN16,, IC MUX/DEMUX DUAL 1OF4 DHVQFN16 ,digikey,568-5422-1-ND,NXP Semiconductors,74CBTLV3253BQ-115
Q2,Si1101X,footprints_on_Cdrive:SOT23,,MOSFET P-CH 12V SC-89 ,digikey,SI1011X-T1-GE3CT-ND ,Vishay,SI1011X-T1-GE3 
U14,MCP4921,footprints_on_Cdrive:MSOP-8,, ICDAC 12BIT SNGL W/SPI 8MSOP ,digikey, MCP4921T-E/MSCT-ND ,Microchip Technology,MCP4921T-E/MS 
